,id,RF_pred
15369,315842,-1
30155,613750,-1
3707,76431,-1
1603,33516,-1
23586,482149,-1
9911,205097,-1
20791,426474,-1
28887,588862,-1
2543,53152,-1
2330,48619,-1
8246,170476,-1
4722,97379,-1
22083,451687,-1
11865,244605,-1
6842,140435,-1
6741,138439,-1
27898,568588,-1
20492,420805,-1
5917,121833,-1
14309,293747,-1
5185,106649,-1
16478,338966,-1
28683,584124,-1
10960,226113,-1
21112,432727,-1
24013,490668,-1
23628,482923,-1
26238,535176,-1
11461,236473,-1
5880,121061,-1
15813,325283,-1
6106,125431,-1
12251,252566,-1
24547,501217,-1
23545,481381,-1
13282,272723,-1
9713,200849,-1
3443,71100,-1
13642,280555,-1
25647,523343,-1
12272,252942,-1
29676,605005,-1
360,7457,-1
1190,24633,-1
30144,613533,-1
21545,441215,-1
27127,553137,-1
30850,628219,-1
15577,319946,-1
28617,582996,-1
864,17839,-1
10346,213033,-1
26024,530615,-1
13201,271105,-1
25189,514638,-1
24442,499140,-1
6871,141178,-1
25587,522334,-1
26027,530660,-1
28328,577032,-1
14797,303865,-1
17949,369645,-1
20435,419614,-1
28564,581914,-1
69,1371,-1
6991,143495,-1
13260,272305,-1
2230,46459,-1
27785,566592,-1
13841,284527,-1
22939,469008,-1
17281,355614,-1
8315,171815,-1
21126,433133,-1
18965,389692,-1
14940,306867,-1
13678,281192,-1
19563,402430,-1
18672,383962,-1
6894,141549,-1
26897,548415,-1
5591,114758,-1
6932,142256,-1
24527,500887,-1
23361,477220,-1
65,1351,-1
28156,573565,-1
9747,201709,-1
30495,621096,-1
12527,257484,-1
21209,434710,-1
30709,625430,-1
30898,629339,-1
30312,617566,-1
29558,602599,-1
19608,403316,-1
25334,517702,-1
13564,278826,-1
26524,540618,-1
15292,314290,-1
18420,379223,-1
27425,558935,-1
29125,593798,-1
14194,291165,-1
15786,324658,-1
23422,478516,-1
8914,184145,-1
26912,548707,-1
24782,506180,-1
2728,56895,-1
9701,200607,-1
6155,126468,-1
11948,246408,-1
31118,633175,-1
21922,448984,-1
7295,149620,-1
13087,268780,-1
14496,297702,-1
493,10557,-1
6866,141096,-1
15582,320036,-1
30064,612207,-1
23187,474124,-1
11964,246670,-1
9995,206838,-1
23559,481650,-1
27134,553406,-1
24875,508025,-1
14988,307693,-1
25058,511708,-1
29408,599851,-1
21724,444912,-1
24881,508127,-1
8718,180175,-1
30106,612931,-1
9627,199040,-1
12247,252477,-1
29794,607047,-1
11171,230545,-1
30148,613610,-1
5517,113055,-1
2701,56394,-1
8651,178570,-1
6039,124099,-1
1856,38233,-1
20157,414584,-1
31407,638028,-1
10765,222066,-1
5935,122223,-1
20320,417665,-1
17759,365606,-1
22419,458375,-1
29424,600107,-1
10256,211404,-1
14618,300141,-1
5515,113044,-1
11162,230351,-1
23462,479435,-1
3477,71664,-1
27098,552850,-1
13461,276590,-1
12561,258133,-1
29289,597137,-1
3749,77310,-1
26279,535949,-1
13158,270237,-1
1539,32078,-1
30273,616701,-1
12047,248257,-1
1312,27170,-1
30607,623106,-1
12719,261193,-1
26512,540428,-1
22796,466249,-1
10114,208997,-1
12341,254196,-1
23786,485925,-1
1961,40233,-1
30430,619556,-1
16132,332026,-1
26578,541904,-1
17118,352037,-1
18907,388613,-1
8518,175708,-1
13998,287589,-1
15338,315220,-1
16124,331843,-1
8649,178502,-1
29570,602886,-1
7348,151010,-1
2519,52626,-1
19303,396527,-1
12600,258966,-1
16671,342830,-1
23102,472474,-1
13265,272367,-1
19501,401088,-1
25357,518132,-1
28610,582836,-1
10693,220414,-1
7063,145164,-1
23944,489099,-1
12280,253162,-1
17818,366987,-1
6661,136933,-1
15275,313935,-1
30572,622574,-1
10147,209536,-1
20393,418905,-1
6995,143546,-1
16755,344404,-1
9301,192395,-1
18193,374512,-1
705,14883,-1
10658,219669,-1
3147,65320,-1
12799,262646,-1
22271,455447,-1
4800,98897,-1
15887,326892,-1
18717,384808,-1
10244,211255,-1
7738,159664,-1
28163,573701,-1
1673,34788,-1
11064,228278,-1
4424,91018,-1
13821,284176,-1
14232,292049,-1
31384,637512,-1
26399,538297,-1
10982,226523,-1
7665,157916,-1
11721,241926,-1
8801,181777,-1
15799,325080,-1
22390,457855,-1
20323,417725,-1
21759,445620,-1
30447,620039,-1
2671,55655,-1
11863,244584,-1
22692,463920,-1
21935,449188,-1
9957,205866,-1
24487,499987,-1
1984,40985,-1
27597,562670,-1
20006,411678,-1
9582,198144,-1
9686,200222,-1
16371,336842,-1
3929,80791,-1
75,1454,-1
14590,299661,-1
14861,305141,-1
26346,537258,-1
18528,381166,-1
13107,269265,-1
2850,59473,-1
16860,346681,-1
6385,131542,-1
3690,75939,-1
31139,633518,-1
25882,527846,-1
1362,28473,-1
31159,633981,-1
28138,573138,-1
25495,520664,-1
28779,586306,-1
31286,636169,-1
20870,427874,-1
3455,71357,-1
16300,335138,-1
7215,148079,-1
11513,237390,-1
23399,477947,-1
16880,347116,-1
10206,210547,-1
24696,504550,-1
13482,276878,-1
31119,633184,-1
22993,470093,-1
9044,187237,-1
22372,457461,-1
16452,338402,-1
16103,331398,-1
20710,424993,-1
8794,181702,-1
25163,514134,-1
3678,75744,-1
17026,350155,-1
12180,251084,-1
20361,418420,-1
8503,175361,-1
11034,227630,-1
11898,245297,-1
3427,70647,-1
94,1922,-1
5914,121822,-1
23156,473577,-1
28091,572432,-1
30643,623866,-1
28088,572366,-1
18049,371552,-1
17876,367929,-1
26499,540106,-1
28150,573393,-1
17514,360350,-1
24461,499536,-1
1858,38244,-1
15692,322331,-1
10345,213026,-1
10201,210425,-1
20344,418129,-1
2300,47889,-1
19423,399233,-1
27841,567623,-1
2875,60045,-1
16601,341423,-1
2705,56424,-1
15261,313717,-1
29327,598135,-1
5027,103547,-1
15970,328464,-1
25538,521544,-1
17381,357333,-1
5437,111560,-1
4447,91482,-1
29977,610348,-1
28705,584576,-1
26062,531430,-1
24319,496751,-1
14936,306849,-1
11365,234426,-1
7700,158512,-1
31404,637971,-1
19768,406787,-1
4581,94390,-1
20171,414906,-1
14920,306614,-1
6220,127990,-1
164,3538,-1
232,4922,-1
21437,439279,-1
17226,354393,-1
9923,205298,-1
21742,445264,-1
18365,378105,-1
28997,591251,-1
22126,452528,-1
1522,31684,-1
13808,284014,-1
26391,538107,-1
20476,420408,-1
16270,334643,-1
1288,26748,-1
19176,394015,-1
9472,195905,-1
1122,23285,-1
25978,529821,-1
28764,586002,-1
15001,307998,-1
10552,217521,-1
22299,456059,-1
16200,333324,-1
4968,102283,-1
7763,160254,-1
29441,600499,-1
6765,138852,-1
15128,310652,-1
31037,631826,-1
6144,126247,-1
5202,107084,-1
29092,593163,-1
2130,44344,-1
26105,532312,-1
1775,36823,-1
20359,418396,-1
22166,453465,-1
27922,569006,-1
21293,436742,-1
1359,28352,-1
26041,531085,-1
23705,484592,-1
4588,94600,-1
1113,23162,-1
3328,68492,-1
796,16439,-1
6536,134305,-1
28866,588462,-1
2076,42914,-1
11958,246538,-1
1112,23147,-1
16825,345967,-1
23733,485005,-1
13347,274304,-1
25784,525680,-1
23242,475083,-1
9282,192115,-1
9338,192981,-1
16204,333382,-1
10120,209098,-1
7432,152634,-1
30527,621608,-1
21651,443324,-1
21908,448710,-1
30827,627726,-1
29012,591437,-1
555,11794,-1
8868,183083,-1
25445,519602,-1
22477,459609,-1
4669,96204,-1
27562,561949,-1
11321,233602,-1
18255,375692,-1
6070,124722,-1
14612,300079,-1
7556,155489,-1
12112,249470,-1
26546,541136,-1
19461,400199,-1
10484,215953,-1
28992,591147,-1
1240,25578,-1
26556,541389,-1
13239,271985,-1
18794,386410,-1
4023,82816,-1
30460,620302,-1
18283,376316,-1
25987,529946,-1
13751,282900,-1
24040,491187,-1
4105,84201,-1
7453,153135,-1
7207,147907,-1
18586,382162,-1
19760,406538,-1
6188,127200,-1
30422,619409,-1
29058,592212,-1
10301,212218,-1
9052,187330,-1
1599,33469,-1
8092,167285,-1
29360,598832,-1
17130,352241,-1
26603,542314,-1
11875,244828,-1
22028,450713,-1
18153,373607,-1
17595,362036,-1
9178,189733,-1
7950,164363,-1
25512,520985,-1
18998,390595,-1
27589,562453,-1
4561,93910,-1
18870,388031,-1
22713,464525,-1
28108,572765,-1
23883,487956,-1
30176,614453,-1
10527,216897,-1
29666,604771,-1
24830,507279,-1
20257,416417,-1
17804,366648,-1
5505,112885,-1
10846,223458,-1
1615,33798,-1
29879,608513,-1
10770,222109,-1
2915,60906,-1
2392,50136,-1
17004,349631,-1
9643,199433,-1
28535,581413,-1
17495,360005,-1
29318,597818,-1
27756,565903,-1
12151,250360,-1
30631,623595,-1
2099,43504,-1
24928,509003,-1
23069,471641,-1
7623,157079,-1
17748,365266,-1
17612,362365,-1
16144,332268,-1
13519,277805,-1
11707,241684,-1
13896,285552,-1
21012,430850,-1
12061,248555,-1
3050,63648,-1
1966,40394,-1
28454,579908,-1
21522,440674,-1
7391,151956,-1
9037,187110,-1
27698,564715,-1
14382,295273,-1
23023,470704,-1
17904,368544,-1
15022,308484,-1
23875,487875,-1
11537,237876,-1
24615,502940,-1
12821,263079,-1
7010,143817,-1
1357,28333,-1
7160,146929,-1
9415,194769,-1
10823,223000,-1
26432,538893,-1
20622,423364,-1
11013,227258,-1
954,19835,-1
15393,316392,-1
4497,92431,-1
18035,371196,-1
1750,36288,-1
30030,611523,-1
17642,363167,-1
12695,260680,-1
11366,234432,-1
13289,272814,-1
15818,325319,-1
15984,328916,-1
1799,37258,-1
30051,611985,-1
8931,184446,-1
25254,516083,-1
8600,177618,-1
18583,382125,-1
18197,374595,-1
12304,253598,-1
13752,282903,-1
5825,119859,-1
12393,255025,-1
29689,605220,-1
28429,579521,-1
13277,272592,-1
4576,94320,-1
14204,291419,-1
19887,409365,-1
42,979,-1
17088,351340,-1
24797,506505,-1
24735,505322,-1
2873,59972,-1
28689,584243,-1
13763,283182,-1
23576,481985,-1
25667,523650,-1
4166,85306,-1
1372,28732,-1
26819,546707,-1
5615,115189,-1
3482,71731,-1
2054,42467,-1
8806,181828,-1
15356,315516,-1
2329,48608,-1
13232,271838,-1
532,11379,-1
14987,307678,-1
23177,473967,-1
6179,126925,-1
31030,631623,-1
15280,314008,-1
12145,250226,-1
18086,372078,-1
22348,456945,-1
29664,604754,-1
3247,67090,-1
25941,528985,-1
10055,207879,-1
14098,289564,-1
16744,344239,-1
30670,624573,-1
31237,635136,-1
13584,279190,-1
5802,119329,-1
30952,630459,-1
1669,34734,1
15902,327196,-1
23090,472093,-1
3525,72708,-1
25468,520123,-1
22175,453638,-1
25229,515490,-1
14611,300072,-1
3060,63818,-1
27738,565588,-1
29873,608444,-1
22132,452718,-1
22967,469606,-1
26165,533569,-1
19337,397316,-1
15082,309873,-1
27207,554667,-1
6901,141633,-1
4136,84764,-1
12204,251627,-1
15782,324579,-1
5915,121823,-1
20452,419988,-1
11323,233630,-1
14839,304821,-1
25673,523756,-1
29365,598896,-1
18274,376143,-1
3783,77855,-1
11999,247341,-1
2067,42746,-1
24185,494092,-1
7061,145131,-1
12502,256964,-1
25771,525399,-1
5334,109696,-1
6427,132279,-1
8396,173133,-1
9822,203081,-1
27329,557028,-1
15750,323811,-1
26585,542044,-1
2995,62269,-1
20378,418595,-1
17824,367063,-1
15164,311575,-1
17111,351803,-1
10160,209728,-1
18082,372037,-1
11399,235114,-1
3924,80679,-1
29134,593978,-1
30386,618872,-1
602,12801,-1
20101,413505,-1
17262,355276,-1
18606,382589,-1
7373,151617,-1
13339,274158,-1
19039,391430,-1
3208,66410,-1
11364,234393,-1
29590,603441,-1
13694,281500,-1
17742,365214,-1
20743,425592,-1
27697,564705,-1
7030,144311,-1
13269,272461,-1
3971,81850,-1
342,7204,-1
261,5432,-1
4695,96795,-1
3647,75080,-1
2301,47902,-1
10886,224533,-1
30156,613768,-1
21828,447153,-1
27577,562225,-1
18042,371419,-1
13308,273269,-1
18108,372501,-1
24072,491825,-1
8709,179986,-1
2213,46193,-1
28285,576320,-1
8852,182688,-1
10845,223439,-1
16982,349224,-1
8540,176407,-1
4020,82724,-1
28733,585345,-1
18623,382841,-1
14456,296845,-1
14312,293783,-1
20585,422598,-1
7957,164436,-1
30492,621059,-1
29885,608674,-1
28472,580219,-1
4158,85219,-1
17014,349954,-1
2235,46645,-1
27673,564319,-1
21009,430825,-1
29864,608241,-1
29579,603169,-1
4625,95331,-1
8815,181972,-1
9572,197900,-1
3829,78827,-1
16871,346861,-1
30170,614301,-1
22785,466110,-1
13563,278806,-1
16296,335104,-1
8980,185957,-1
28231,575221,-1
8348,172398,-1
14178,290979,-1
25898,528262,-1
30483,620904,-1
23974,489967,-1
12413,255389,-1
24421,498681,-1
25354,518079,-1
14909,306409,-1
21565,441488,-1
22432,458632,-1
5709,117136,-1
5830,119970,-1
17706,364507,-1
13855,284755,-1
12749,261780,-1
12593,258827,-1
9617,198850,-1
28828,587557,-1
10025,207307,-1
30871,628776,-1
31110,633065,-1
16964,348938,-1
14163,290605,-1
17747,365249,-1
9286,192169,-1
9332,192883,-1
27601,562862,-1
17757,365538,-1
12973,266635,-1
829,17275,-1
7802,161387,-1
16494,339258,-1
26401,538310,-1
27762,566008,-1
2148,44698,-1
618,13064,-1
22200,454121,-1
7243,148541,-1
7317,150224,-1
5459,112138,-1
19476,400641,-1
3028,63251,-1
6122,125742,-1
1575,32993,-1
31130,633348,-1
20111,413733,-1
19832,408169,-1
15489,318401,-1
11141,229820,-1
10546,217312,-1
26148,533275,-1
13930,286224,-1
23205,474319,-1
22706,464382,-1
21007,430773,-1
14137,290137,-1
25833,526784,-1
15520,318935,-1
30328,617808,-1
30986,630861,-1
2278,47372,-1
11358,234305,-1
17080,351243,-1
2119,44048,-1
14826,304449,-1
24686,504422,-1
5483,112540,-1
11363,234379,-1
818,17084,-1
6922,141957,-1
16919,347993,-1
3389,69741,-1
2848,59452,-1
3781,77843,-1
24681,504340,-1
3902,80254,-1
9327,192847,-1
21127,433176,-1
14008,287742,-1
8583,177196,-1
23068,471613,-1
23681,484044,-1
24459,499500,-1
3231,66816,-1
28827,587532,-1
23604,482523,-1
20648,423915,-1
17875,367922,-1
15630,320860,-1
19978,411008,-1
12988,266846,-1
10156,209664,-1
25757,525171,-1
28550,581701,-1
29126,593811,-1
18978,390075,-1
9431,195108,-1
21805,446667,-1
22537,460902,-1
17756,365488,-1
18044,371500,-1
14188,291097,-1
8354,172477,-1
349,7320,-1
18016,370867,-1
27613,563094,-1
6215,127874,-1
21776,445972,-1
2803,58436,-1
22085,451700,-1
6672,137180,-1
6668,137128,-1
13003,267086,-1
22605,462175,-1
5845,120310,-1
16086,331036,-1
15343,315256,-1
13859,284798,-1
10566,217755,-1
22538,460918,-1
12260,252742,-1
5126,105567,-1
26123,532774,-1
20649,423942,-1
29547,602428,-1
23773,485762,-1
26017,530474,-1
21897,448405,-1
2421,50652,-1
25270,516296,-1
19801,407526,-1
30852,628288,-1
25804,526150,-1
19416,399101,-1
8317,171845,-1
843,17480,-1
18143,373438,-1
1232,25403,-1
28777,586258,-1
10464,215544,-1
28319,576903,-1
21227,435166,-1
7470,153404,-1
28814,587286,-1
17368,357105,-1
27646,563647,-1
29827,607849,-1
21090,432237,-1
472,10069,-1
4335,89183,-1
19308,396599,-1
3890,80132,-1
6927,142123,-1
25489,520564,-1
15116,310372,-1
30592,622875,-1
17709,364540,-1
27962,569828,-1
10219,210794,1
15941,328009,-1
10797,222551,-1
30330,617828,-1
29749,606284,-1
6993,143536,-1
19940,410259,-1
12743,261721,-1
7286,149462,-1
2683,55960,-1
524,11244,-1
86,1814,-1
26815,546627,-1
11357,234293,-1
9680,200043,-1
25997,530087,-1
28647,583449,-1
12026,247879,-1
24592,502276,-1
20978,429937,-1
23231,474880,-1
7571,155820,-1
30679,624671,-1
22382,457680,-1
27900,568621,-1
30864,628620,-1
1144,23819,-1
601,12788,-1
16042,330178,-1
27237,555236,-1
21629,442838,-1
23552,481524,-1
4014,82617,-1
9711,200817,-1
14690,301567,-1
25070,512095,-1
7002,143682,-1
5929,122084,-1
19671,404827,-1
14371,295019,-1
13962,286866,-1
7530,154823,-1
1250,25837,-1
8068,166902,-1
6164,126568,-1
14243,292344,-1
18781,386200,-1
20055,412754,-1
14780,303436,-1
8262,170674,-1
13302,273157,-1
14107,289720,-1
13665,280932,-1
27004,550695,-1
26423,538770,-1
3197,66202,-1
29226,596056,-1
15178,311924,-1
10238,211054,-1
4559,93899,-1
5264,108229,-1
15088,309935,-1
19258,395634,-1
18576,382044,-1
19536,401810,-1
8415,173463,-1
3093,64456,-1
16245,334121,-1
11006,227096,-1
29225,596053,-1
20137,414241,-1
2866,59773,-1
5895,121448,-1
16342,335956,-1
30638,623740,-1
24200,494412,-1
30762,626406,-1
10698,220497,-1
11353,234262,-1
2066,42725,-1
18814,386990,-1
4777,98448,-1
20322,417696,-1
26485,539714,-1
16359,336445,-1
3638,74924,-1
16175,332770,-1
3025,63144,-1
5933,122197,-1
6772,139050,-1
8250,170500,-1
28142,573249,-1
12176,250947,-1
15834,325769,-1
24255,495548,-1
26079,531727,-1
20572,422375,-1
28872,588520,-1
16045,330221,-1
12953,266135,-1
12255,252607,-1
17105,351630,-1
26082,531749,-1
7104,146068,-1
25965,529595,-1
30013,611088,-1
31102,632970,-1
16979,349180,-1
8747,180739,-1
8561,176750,-1
25345,517876,-1
6040,124118,-1
26245,535297,-1
1134,23506,-1
13612,279833,-1
4954,101947,-1
18156,373758,-1
10128,209195,-1
25050,511517,-1
21915,448878,-1
2061,42635,-1
11063,228214,-1
6108,125440,-1
12853,263779,-1
23373,477472,-1
15016,308330,-1
12022,247709,-1
19124,392979,-1
5182,106626,-1
15583,320069,-1
28118,572902,-1
29403,599683,-1
9824,203217,-1
23180,473999,-1
5498,112782,-1
26788,546137,-1
1949,39991,-1
13717,281947,-1
729,15281,-1
30620,623373,-1
22529,460775,-1
18012,370733,-1
26446,539146,-1
11933,246128,-1
25540,521552,-1
5506,112906,-1
13991,287477,-1
14621,300201,-1
9242,191074,-1
32,858,-1
16067,330716,-1
27651,563864,-1
8483,174934,-1
12588,258784,-1
18746,385507,-1
15360,315624,-1
16253,334323,-1
9331,192869,-1
29366,598919,-1
29335,598263,-1
29877,608508,-1
17117,351967,-1
14112,289778,-1
1721,35657,-1
9454,195572,-1
19260,395710,-1
28606,582826,-1
8816,181989,-1
24999,510477,-1
10714,220868,-1
26438,538995,-1
8883,183430,-1
10332,212850,-1
10858,223820,-1
13297,273072,-1
14934,306824,-1
22608,462214,-1
28351,577532,-1
15385,316167,-1
14146,290285,-1
11640,240294,-1
21192,434471,-1
2972,61843,-1
23140,473320,-1
6985,143223,-1
19696,405315,-1
19381,398273,-1
2648,55122,-1
14337,294357,-1
10653,219631,-1
7177,147321,-1
23860,487549,-1
17502,360137,-1
17430,358384,-1
24135,493040,-1
13307,273257,-1
29068,592453,-1
15895,327061,-1
31247,635291,-1
30318,617622,-1
13486,276954,-1
16057,330576,-1
27725,565351,-1
24973,510101,-1
17838,367389,-1
13650,280686,-1
12820,263063,-1
18926,389036,-1
15948,328176,-1
5645,115817,-1
1623,34035,-1
3203,66329,-1
20470,420358,-1
18917,388802,-1
4816,99163,-1
8715,180120,-1
26541,541089,-1
29766,606621,-1
24380,497850,-1
24140,493248,-1
19909,409627,-1
7830,162046,-1
26093,532062,-1
14582,299557,-1
68,1367,-1
17031,350244,-1
3928,80777,-1
6005,123429,-1
1680,34903,-1
21985,449942,-1
26006,530281,-1
6305,129530,-1
23905,488377,-1
1438,30168,-1
25116,513030,-1
21869,447844,-1
16839,346220,-1
4005,82503,-1
3325,68428,-1
23597,482380,-1
27240,555317,-1
28846,587863,-1
4837,99760,-1
1380,28856,-1
7737,159643,-1
30791,626880,-1
540,11518,-1
7405,152175,-1
14513,298184,-1
14560,299154,-1
6912,141834,-1
2694,56208,-1
5922,121991,-1
6376,131367,-1
30284,616977,-1
29109,593485,-1
22704,464351,-1
16635,341939,-1
31356,637095,-1
3557,73323,-1
4752,97934,-1
6280,129159,-1
29866,608263,-1
29291,597145,-1
9892,204503,-1
19538,401840,-1
12338,254171,-1
26873,548062,-1
14537,298727,-1
22323,456490,-1
14874,305501,-1
1216,25068,-1
26244,535276,-1
1663,34649,-1
18612,382704,-1
28040,571359,-1
19989,411252,-1
27157,553765,-1
6606,135901,-1
30705,625349,-1
27220,554930,-1
22001,450260,-1
12432,255614,-1
255,5361,-1
16380,337010,-1
27777,566451,-1
29737,606043,-1
24052,491402,-1
357,7396,-1
21006,430751,-1
2422,50667,-1
27752,565832,-1
28736,585429,-1
2757,57489,-1
24373,497749,-1
23555,481595,-1
10311,212460,-1
17048,350489,-1
29898,608830,-1
4971,102423,-1
19248,395467,-1
16241,334059,-1
28507,580851,-1
23499,480238,-1
22270,455431,-1
4993,102920,-1
1274,26450,-1
25212,515076,-1
16955,348773,-1
779,16104,-1
14527,298485,-1
7858,162675,-1
23998,490424,-1
9770,202212,-1
1891,38823,-1
6911,141830,-1
17613,362409,-1
18164,373862,-1
28608,582831,-1
16020,329776,-1
3091,64445,-1
23749,485255,-1
14304,293694,-1
20690,424688,-1
11829,244015,-1
20173,414951,-1
28001,570609,-1
29569,602853,-1
28677,584006,-1
23289,475659,-1
30486,620967,-1
26269,535833,-1
12803,262722,-1
526,11255,-1
11112,229257,-1
23878,487899,-1
25944,529062,-1
8670,179167,-1
8640,178433,-1
28693,584345,-1
21380,438169,-1
15517,318858,-1
22123,452435,-1
10286,211860,-1
16365,336686,-1
7492,153896,-1
17872,367900,-1
23425,478547,-1
28686,584216,-1
2510,52476,-1
27258,555535,-1
24055,491550,-1
8976,185828,-1
26706,544357,-1
27502,560479,-1
7514,154350,-1
4040,83110,-1
23282,475557,-1
11781,243023,-1
7326,150585,-1
23170,473910,-1
13262,272327,-1
24983,510241,-1
18937,389264,-1
10412,214615,-1
12791,262515,-1
6343,130651,-1
2535,53044,-1
4650,95856,-1
2274,47336,-1
2880,60128,-1
26593,542228,-1
9081,187780,-1
634,13274,-1
15448,317586,-1
7434,152674,-1
18593,382282,-1
21971,449659,-1
20377,418590,-1
28105,572702,-1
15334,315128,-1
452,9417,-1
27468,559766,-1
20901,428304,-1
3384,69625,-1
2349,49008,-1
16795,345323,-1
7578,155944,-1
3406,70052,-1
15512,318770,-1
20606,422970,-1
16446,338329,-1
23051,471301,-1
10577,218004,-1
665,14060,-1
8927,184398,-1
15357,315520,-1
20867,427843,-1
6186,127105,-1
29142,594175,-1
13237,271953,-1
27905,568730,-1
24227,495091,-1
14538,298751,-1
21656,443385,-1
11134,229680,-1
365,7489,-1
1060,22070,-1
24258,495605,-1
22092,451809,-1
14652,300907,-1
1327,27510,-1
12303,253597,-1
12900,264878,-1
11085,228804,-1
6530,134171,-1
17572,361576,-1
8533,176178,-1
30209,615380,-1
13822,284178,-1
27667,564193,-1
